pgid;idGGST;idPerson;FinderVerlierer
30705;1858;14887;0
30706;1859;14481;1
30707;1860;14481;1
30708;1861;14481;1
30709;1861;13515;0
30710;1862;14889;1
30711;1862;14890;0
30712;1863;13375;1
30713;1863;14891;0
30714;1864;10210;1
30715;1865;14481;1
30716;1866;14481;1
30717;1867;14481;1
30718;1867;14892;0
30719;1868;14481;1
30720;1869;14481;1
30721;1869;14482;0
30722;1870;14481;1
30723;1871;14893;1
30724;1872;14481;1
30725;1873;14894;1
30726;1873;14895;0
30727;1874;14898;0
30728;1876;14900;1
30729;1875;14902;1
30730;1878;14904;1
30731;1879;14481;1
30732;1880;14906;0
30733;1881;14907;0
30734;1882;14909;0
30735;1883;14910;0
30736;1884;14911;0
30737;1885;14913;0
30738;1887;14915;1
30739;1889;14917;1
30740;1891;14919;1
30741;1892;14920;1
30742;1893;14920;1
30743;1895;14922;1
30744;1897;14924;1
30745;1851;14926;0
30746;1900;14928;1
30747;1901;14930;1
30748;1902;14932;0
30749;1412;14359;1
30750;1412;14365;0
30751;324;14359;1
30752;326;14359;1
30753;325;14359;1
30754;327;14359;1
30755;1414;2;1
30756;1414;14366;0
30757;1415;2;1
30758;1415;14367;0
30759;1416;14368;1
30760;1417;14369;1
30761;1418;14370;1
30762;1418;14371;0
30763;1419;12353;1
30764;1419;14372;0
30765;1421;11562;1
30766;1422;14375;1
30767;1423;12418;1
30768;1423;14287;0
30769;1421;14376;0
30770;1424;13625;1
30771;1425;14377;1
30772;1426;14378;1
30773;1427;14242;1
30774;1427;14379;0
30775;1428;2;1
30776;1429;14380;1
30777;1429;14381;0
30778;1430;14382;1
30779;1431;14383;1
30780;1431;14384;0
30781;1386;14385;0
30782;1432;14386;1
30783;1432;14387;0
30784;1433;14388;1
30785;1434;14389;1
30786;1434;14390;0
30787;1435;12582;1
30788;1435;14391;0
30789;1397;14392;0
30790;1436;12418;1
30791;1436;14393;0
30792;1437;11562;1
30793;1437;14394;0
30794;1438;14395;1
30795;1396;14396;0
30796;1439;14397;1
30797;1440;11973;1
30798;1440;14398;0
30799;1441;11973;1
30800;1441;14399;0
30801;1442;2;1
30802;1443;14400;1
30803;1444;12418;1
30804;1443;14401;0
30805;1444;14402;0
30806;1445;14403;1
30807;1445;14404;0
30808;1446;12418;1
30809;1446;14405;0
30810;1447;14406;1
30811;1425;14407;0
30812;1148;14408;0
30813;1448;9174;1
30814;1424;14409;0
30815;1448;14410;0
30816;1449;12801;1
30817;1449;14411;0
30818;1450;14412;1
30819;1451;14413;1
30820;1451;14414;0
30821;1452;12851;1
30822;1452;14415;0
30823;1453;14416;1
30824;1454;14417;1
30825;1455;14418;1
30826;1456;12780;1
30827;1456;14419;0
30828;1457;13375;1
30829;1458;14421;0
30830;1460;14423;1
30831;1462;14425;1
30832;1463;14427;1
30833;1464;14429;1
30834;1465;14431;1
30835;1466;14433;1
30836;1467;12801;1
30837;1450;14434;0
30838;1470;14437;1
30839;1470;14438;0
30840;1472;14440;0
30841;1474;14442;1
30842;1474;14430;0
30843;1477;14446;1
30844;1478;14448;1
30845;1479;2;1
30846;1480;12780;1
30847;1482;12418;1
30848;1481;14452;0
30849;1371;14453;0
30850;1484;14455;0
30851;1485;14457;0
30852;1476;14459;0
30853;1488;14460;1
30854;1489;14298;1
30855;1490;14463;1
30856;1491;13895;1
30857;1493;13895;1
30858;1496;14468;1
30859;1498;2;1
30860;1500;13514;1
30861;1501;14471;1
30862;1502;14473;0
30863;1504;14474;1
30864;1506;14476;1
30865;1497;14477;0
30866;1508;14479;1
30867;1509;14480;0
30868;1510;14482;0
30869;1511;14483;0
30870;1512;14484;0
30871;1514;14481;1
30872;1516;14481;1
30873;1517;14486;1
30874;1519;14481;1
30875;1521;14488;1
30876;1538;11983;1
30877;1523;14492;0
30878;1525;14493;1
30879;1526;14494;0
30880;1528;14496;1
30881;1530;14498;1
30882;1530;14500;0
30883;1532;14502;1
30884;1539;14510;0
30885;1540;14511;0
30886;1541;14512;0
30887;1543;11983;1
30888;1544;11983;1
30889;1545;11983;1
30890;1546;14517;1
30891;1547;14519;1
30892;1549;2;1
30893;1549;14522;0
30894;1551;14523;0
30895;1554;12418;1
30896;1554;14526;0
30897;1557;14528;1
30898;1556;14530;1
30899;1558;12418;1
30900;1559;14528;1
30901;1560;14838;1
30902;1561;14535;1
30903;1562;14537;0
30904;1564;14538;1
30905;1622;12418;1
30906;1623;14620;1
30907;1624;14622;0
30908;1625;14623;1
30909;1627;14625;1
30910;1628;14627;0
30911;1630;12801;1
30912;1683;12786;1
30913;1686;14691;1
30914;1687;2;1
30915;1688;13801;1
30916;1689;14694;1
30917;1689;14696;0
30918;1691;14699;0
30919;1693;14700;1
30920;1694;14702;1
30921;1695;14704;1
30922;1696;14706;1
30923;1697;14708;1
30924;1698;14710;0
30925;1700;12367;1
30926;1700;14712;0
30927;1701;14713;1
30928;1702;14714;1
30929;1703;12418;1
30930;1703;14715;0
30931;1704;14716;1
30932;1704;14717;0
30933;1706;14718;1
30934;1706;14719;0
30935;1707;14720;1
30936;1708;12418;1
30937;1708;14721;0
30938;1705;2;1
30939;1709;14722;1
30940;1709;14723;0
30941;1710;13375;1
30942;1710;14724;0
30943;1711;13514;1
30944;1712;14632;1
30945;1692;14725;0
30946;1714;2;1
30947;1713;14726;1
30948;1713;14727;0
30949;1715;14728;1
30950;1716;13048;1
30951;1717;13048;1
30952;1718;14729;1
30953;1719;14730;1
30954;1719;14731;0
30955;1720;14732;1
30956;1720;14733;0
30957;1537;14734;0
30958;1699;14735;0
30959;1721;14736;1
30960;1722;14737;1
30961;1721;14738;0
30962;1723;11973;1
30963;1724;14730;1
30964;1724;14739;0
30965;1725;11973;1
30966;1725;14740;0
30967;1726;11973;1
30968;1726;14741;0
30969;1727;11973;1
30970;1727;14742;0
30971;1728;11973;1
30972;1728;14743;0
30973;1729;11973;1
30974;1729;14744;0
30975;1730;14730;1
30976;1730;14745;0
30977;1731;14748;1
30978;1731;14747;0
30979;1732;8901;1
30980;1732;14749;0
30981;1682;14750;0
30982;1733;14730;1
30983;1733;14751;0
30984;1734;11973;1
30985;1734;14752;0
30986;1735;2;1
30987;1735;14753;0
30988;1736;14754;1
30989;1737;14755;1
30990;1738;13175;1
30991;1738;14756;0
30992;1739;14757;1
30993;1740;13992;1
30994;1741;13596;1
30995;1742;13675;1
30996;1743;319;1
30997;1744;14758;1
30998;1745;14759;1
30999;1747;14760;1
31000;1748;13494;1
31001;1749;14762;0
31002;1750;14763;0
31003;1751;14764;0
31004;1752;12418;1
31005;1753;14767;1
31006;1754;14768;0
31007;1755;14769;0
31008;1757;14771;1
31009;1758;14773;1
31010;1759;14774;1
31011;1760;14776;0
31012;1761;14777;0
31013;1762;14778;0
31014;1763;13256;1
31015;1765;14730;1
31016;1766;14781;0
31017;1767;14783;1
31018;1769;14785;0
31019;1770;14787;0
31020;1771;14789;1
31021;1773;14791;1
31022;1775;14328;1
31023;1776;14794;1
31024;1777;14796;1
31025;1778;13152;1
31026;1777;14799;0
31027;1771;14800;0
31028;1788;14810;1
31029;1789;14764;1
31030;1791;14813;1
31031;1772;14814;0
31032;1792;14815;1
31033;1792;14816;0
31034;1793;14817;1
31035;1794;14481;1
31036;1794;14818;0
31037;1795;14481;1
31038;1795;14819;0
31039;1796;14481;1
31040;1796;14820;0
31041;1797;11973;1
31042;1797;14821;0
31043;1798;11973;1
31044;1798;14822;0
31045;1799;11973;1
31046;1799;14823;0
31047;1800;11973;1
31048;1800;14824;0
31049;1801;11973;1
31050;1801;14825;0
31051;1802;11973;1
31052;1802;14826;0
31053;1803;14827;1
31054;1804;12418;1
31055;1804;14828;0
31056;1805;14829;1
31057;1805;14830;0
31058;1806;14831;1
31059;1806;14832;0
31060;1807;14833;1
31061;1807;14834;0
31062;1808;12801;1
31063;1808;14835;0
31064;1809;13895;1
31065;1810;13895;1
31066;1811;14589;1
31067;1812;14836;1
31068;1813;14837;1
31069;2146;15172;1
31070;1815;14839;1
31071;1815;14840;0
31072;1816;13375;1
31073;1816;14841;0
31074;1817;14842;1
31075;1818;13494;1
31076;1819;13494;1
31077;1820;12670;1
31078;1821;12670;1
31079;1821;14843;0
31080;1759;14844;0
31081;1822;14845;1
31082;1823;14846;1
31083;1824;14847;1
31084;1563;14539;0
28407;158;12906;0
42345;9341;16337;0
42346;9345;21307;1
42347;9346;21308;1
42348;9347;12418;1
42349;9347;21309;0
42350;9348;12780;1
42351;9348;21310;0
42352;9349;12418;1
42353;9349;21311;0
42354;9350;12418;1
42356;9351;21313;1
42357;9350;21314;0
42358;9351;21315;0
42359;9352;21316;1
42360;9353;15618;1
42361;9353;21317;0
42362;9352;21318;0
42363;9345;21319;0
42364;9226;21320;0
42365;9354;21321;1
42366;9354;21322;0
42367;9355;2;1
42368;9355;21323;0
42369;9328;20745;0
42370;9356;21324;1
42371;9356;21325;0
42373;9358;12418;1
42374;9358;21327;0
42375;9359;21328;1
42389;9367;21336;1
42392;9368;21339;1
42393;9368;21338;0
42394;9369;21340;1
42396;9371;13580;1
42405;8781;21344;0
42408;9379;21346;1
42409;9379;21347;0
42410;9380;21345;1
42411;9381;21348;1
42413;9378;21349;0
42414;9378;21350;1
42415;9382;21351;1
42416;9383;13024;1
42417;9382;21352;0
42418;9384;21353;1
42419;9385;21354;1
42420;9272;21248;0
42421;9386;13010;1
42423;9387;13024;1
42430;9336;21360;0
42449;9404;12780;1
42450;9404;21370;0
42451;9405;21371;1
42452;9405;21372;0
42453;9402;21373;0
42454;9406;12780;1
42455;9406;21374;0
42456;9407;21375;1
42457;9408;15879;1
42458;9409;21376;1
42459;9410;12418;1
42460;9410;21377;0
42461;9411;21378;1
42462;9412;12963;1
42463;9412;21379;0
42464;9389;21380;0
42465;9413;21381;1
42466;9413;21382;0
42467;9407;21383;0
42468;9414;18048;1
42469;9414;21384;0
42470;9415;13103;1
42471;9415;21385;0
42472;9416;21386;1
42473;9417;21387;1
42474;9418;21388;1
42475;9418;21389;0
42487;9426;21398;1
42488;9427;13026;1
42489;9428;13026;1
42495;9433;21401;1
42496;9434;15196;1
42497;9435;21402;1
42498;9436;21403;1
42499;9437;21404;1
42500;9438;12418;1
42501;9438;21405;0
42502;9439;21406;1
42503;9440;21407;1
42504;9441;21408;1
42505;9441;21409;0
42506;9442;13260;1
42507;9443;15350;1
42508;9443;21410;0
42509;9444;21411;1
42512;9447;15350;1
42513;9447;21412;0
42514;9448;15350;1
42515;9448;21413;0
42516;9449;15350;1
42517;9449;21414;0
42520;9451;15350;1
42521;9451;21417;0
42522;9452;15350;1
42523;9452;21418;0
42524;9453;15350;1
42525;9454;15350;1
42526;9455;15350;1
42527;9456;11997;1
42528;9456;21419;0
42529;9457;11997;1
42530;9457;21420;0
42533;9459;12801;1
42534;9459;21423;0
42538;9462;21426;1
42539;9463;21427;1
42540;9464;12780;1
42544;9466;15879;1
42545;9467;21430;1
42546;9466;21431;0
42549;9469;21433;1
42550;9469;21434;0
42551;9470;21435;1
42554;9472;21438;1
42556;9472;21440;0
42561;9476;21433;1
42562;9476;21445;0
42563;9477;21446;1
42564;9478;21447;1
42565;9479;17250;1
42566;9479;21448;0
42569;9481;17250;1
42570;9482;21450;1
42571;9483;2;1
42572;9483;21451;0
42573;9484;21452;1
42574;9484;21453;0
42575;9485;15942;1
42576;9486;21454;1
42577;9486;21455;0
42578;9487;21456;1
42579;9467;21457;0
42580;9482;21458;0
42581;9475;21459;0
42582;9488;13026;1
42583;9488;21460;0
42586;9490;12951;1
42601;9501;19706;1
