sid;Strassenbezeichnung
291;Haslerstrasse
292;Haspelgasse
293;Haspelweg
294;Hauensteinweg
295;Hausmattweg
296;Heckenweg
297;Heimstrasse
298;Helene-von-Mülinen-Treppe
299;Helvetiaplatz
300;Helvetiastrasse
301;Herrengasse
302;Herzogstrasse
303;Hesseweg
304;Hildanusstrasse
305;Hiltystrasse
306;Hintere Engehaldenstrasse
307;Hirschengraben
308;Hochbühlweg
309;Hochfeldstrasse
310;Hochschulstrasse
311;Hodlerstrasse
312;Hofmeisterstrasse
313;Hofweg
314;Höheweg
315;Hohgantweg
316;Holenackerstrasse
317;Holligenstrasse
318;Holzikofenweg
319;Holzweg
320;Hopfenrain
321;Hopfenweg
322;Hotelgasse
323;Hubelmattstrasse
324;Huberstrasse
325;Humboldtstrasse
326;Indermühleweg
327;Industrieweg
328;Inselgasse
329;Insula dulcamara
330;Jägerweg
331;Jaunweg
332;Jennerweg
333;Jöggiackerstrasse
334;Jolimontstrasse
335;Jubiläumsplatz
336;Jubiläumsstrasse
337;Jungfraustrasse
338;Junkerngasse
339;Jupiterstrasse
340;Jurastrasse
341;Justingerweg
342;Käfiggässchen
343;Kalcheggweg
344;Kanonenweg
345;Kapellenstrasse
346;Karl-Schenk-Passage
347;Kasernenstrasse
348;Kasparstrasse
349;Kastellweg
350;Kasthoferstrasse
351;Kehrgasse
352;Keltenstrasse
353;Keplerstrasse
354;Kirchackerweg
355;Kirchbergerstrasse
356;Kirchbühlweg
357;Kirchenfeldstrasse
358;Kistlerweg
359;Klaraweg
360;Kleefeldstrasse
361;Kleeplatz
362;Kleiner Muristalden
363;Klösterlistutz
364;Knospenweg
365;Knüslihubelweg
366;Kochergasse
367;Kollerweg
368;Königweg
369;Könizstrasse
370;Konradweg
371;Konsumstrasse
372;Kornhausplatz
373;Kornhausstrasse
374;Kornweg
375;Kramburgstrasse
376;Kramgasse
377;Kreuzgasse
378;Krippenstrasse
379;Kuhnweg
380;Küpferstutz
381;Kursaalstrasse
382;Kyburgstrasse
383;Ladenwandweg
384;Lagerhausweg
385;Lagerweg
386;Landhausweg
387;Landoltstrasse
388;Ländteweg
389;Länggassstrasse
390;Langmauerweg
391;Langobardenstrasse
392;Laubeggstrasse
393;Läuferplatz
394;Laupenstrasse
395;Le-Corbusier-Platz
396;Lederstutz
397;Lentulusrain
398;Lentulusstrasse
399;Lenzweg
400;Lerberstrasse
401;Lerchenweg
402;Libellenweg
403;Liebeggweg
404;Lilienweg
405;Lindenauweg
406;Lindenrain
407;Löchligutweg
408;Löchliweg
409;Lombachweg
410;Looslistrasse
411;Lorbeerstrasse
412;Lorrainestrasse
413;Loryplatz
414;Lorystrasse
415;Lötschbergweg
416;Luft-Station
417;Luisenstrasse
418;Luternauweg
419;Mädergutstrasse
420;Magazinweg
421;Maiglöggliweg
422;Malerweg
423;Mannenriedstrasse
424;Manuelstrasse
425;Marienstrasse
426;Marktgasse
427;Marktgass-Passage
428;Martiweg
429;Marzilistrasse
430;Mattenenge
431;Mattenhofstrasse
432;Mattentreppe
433;Matterstrasse
434;Matzenriedstrasse
435;Mauerrain
436;Maulbeerstrasse
437;Mayweg
438;mehr Vogel
439;Meisenweg
440;Melchenbühlweg
441;Melchiorstrasse
442;Melchtalstrasse
443;Merzenacker
444;Messerliweg
445;Metzgergässchen
446;Mezenerweg
447;Militärstrasse
448;Mindstrasse
449;Mingerstrasse
450;Mittelholzerstrasse
451;Mittelstrasse
452;Monbijoustrasse
453;Monreposweg
454;Monument im Fruchtland
455;Moosweg
456;Morellweg
457;Morgartenstrasse
458;Morgenstrasse
459;Morillonstrasse
460;Moritzweg
461;Moserstrasse
462;Mottastrasse
463;Muesmattstrasse
464;Mühledorfstrasse
465;Mühlemattstrasse
466;Mühlenplatz
467;Mülinenstrasse
468;Müllerstrasse
469;Müngerstrasse
470;Münstergässchen
471;Münstergasse
472;Münsterplatz
473;Münzgraben
474;Munzingerstrasse
475;Münzrain
476;Münzterrasse
477;Murifeldweg
478;Muristrasse
479;Murtenstrasse
480;Museumstrasse
481;Müslinweg
482;Mutachstrasse
483;Myrtenweg
484;Nägeligasse
485;Nelkenweg
486;Neubrückstrasse
487;Neue Murtenstrasse
488;Neuengasse
489;Neuengass-Passage
490;Neuengass-Unterführung
491;Neufeldstrasse
492;Neuhausweg
493;Niederbottigenstrasse
494;Niederbottigenweg
495;Niederfeldweg
496;Niederriedweg
497;Niesenweg
498;Niggelerstrasse
499;Nischenweg
500;Nordring
501;Nordweg
502;Normannenstrasse
503;Nünenenweg
504;nur auf Umwegen
505;Nussbaumstrasse
506;Nydeggasse
507;Nydegghof
508;Nydeggstalden
509;Nydeggtreppe
510;Oberbottigenrain
511;Oberbottigenweg
512;Obere Zollgasse
513;Oberer Aareggweg
514;Oberes Gerechtigkeitsgässchen
515;Obermattstrasse
516;Oberweg
517;Obstbergweg
518;Ochsenbeinstrasse
519;Olivenweg
520;Optingenstrasse
521;Oranienburgstrasse
522;Ostermundigenstrasse
523;Ostring
524;Papiermühlestrasse
525;Pappelweg
526;Parkstrasse
527;Parkterrasse
528;Pavillonweg
529;Pestalozzistrasse
530;Peterweg
531;Petitpierreweg
532;Pfaffensteig
533;Philosophenweg
534;Pilgerweg
535;Pillonweg
536;Platanenweg
537;Plattform
538;Polygonstrasse
539;Postgasse
540;Postgasshalde
541;Predigergasse
542;Primelweg
543;Puffertgässli
544;Pulverweg
545;Quartiergasse
546;Quartierhof
547;Rabbentalstrasse
548;Rabbentaltreppe
549;Radarstrasse
550;Rad-wahn
551;Raineggweg
552;Rainmattstrasse
553;Ralligplatz
554;Ralligweg
555;Ramuzstrasse
556;Randweg
557;Rathausgasse
558;Rathausplatz
559;Reckweg
560;Rehhagstrasse
561;Reichenbachstrasse
562;Reiterstrasse
563;Rickenweg
564;Riedbachstrasse
565;Riedeggweg
566;Riedernrain
567;Riedernstrasse
568;Riedweg
569;Ringoltingenstrasse
570;Robinsonweg
571;Rodtmattstrasse
572;Rohrweg
573;Römerweg
574;Roschistrasse
575;Rosenbergstrasse
576;Rosenweg
577;Rossfeldstrasse
578;Rosshäusernstrasse
579;Rougemontweg
580;Rütlistrasse
581;Ryffligässchen
582;Sägehofweg
583;Sagerstrasse
584;Sahlistrasse
585;Sandrainstrasse
586;Schaalgässchen
587;Schanzeneckstrasse
588;Schanzenstrasse
589;Schänzlihalde
590;Schänzlistrasse
591;Schärerstrasse
592;Scharnachtalstrasse
593;Schauplatzgasse
594;Scheibenrain
595;Scheibenstrasse
596;Schenkstrasse
597;Schermenweg
598;Scheuermattweg
599;Scheuerrain
600;Scheurerstrasse
601;Schiferliweg
602;Schifflaube
603;Schildknechtstrasse
604;Schillingstrasse
605;Schläflirain
606;Schläflistrasse
607;Schlossergässchen
608;Schlösslistrasse
