oid;PLZ;Ort
1126;1978;Lens
1127;1981;Vex
1128;1982;Euseigne
1129;1983;Evolène
1130;1983;Lana (Evolène)
1131;1984;Les Haudères
1132;1985;La Sage
1133;1986;Arolla
1134;1987;Hérémence
1135;1987;Mâche
1136;1988;Thyon-Les Collons
1137;1988;Thyon
1138;1988;Les Collons
1139;1991;Salins
1140;1991;Arvillard (Salins)
1141;1991;Pravidondaz
1142;1991;Turin (Salins)
1143;1991;Misériez (Salins)
1144;1992;Les Agettes
1145;1992;Les Mayens-de-Sion
1146;1992;La Vernaz
1147;1992;Crête-à-l'Oeil
1148;1993;Veysonnaz
1149;1993;Clèbes (Veysonnaz)
1150;1994;Baar (Nendaz)
1151;1994;Beuson
1152;1994;Aproz
1153;1994;Brignon
1154;1994;Bioley-de-Brignon
1155;1996;Basse-Nendaz
1156;1996;Fey (Nendaz)
1157;1996;Bieudron
1158;1996;Condémines
1159;1996;Saclentz
1160;1997;Haute-Nendaz
1161;1997;Siviez
1162;2000;Neuchâtel
1163;2000;Ntel 2 CC Dist
1164;2000;Neuchâtel Base Col
1165;2001;Neuchâtel 1
1166;2001;Neuchâtel DAP
1167;2002;Neuchâtel 2
1168;2002;Neuchâtel Swisscom
1169;2003;Neuchâtel 3
1170;2004;Neuchâtel 4
1171;2005;Neuchâtel 5
1172;2006;Neuchâtel 6
1173;2007;Neuchâtel 7
1174;2008;Neuchâtel 8
1175;2009;Neuchâtel 9
1176;2010;Neuchâtel OFS
1177;2012;Auvernier
1178;2013;Colombier NE
1179;2014;Bôle
1180;2015;Areuse
1181;2016;Cortaillod
1182;2017;Boudry
1183;2022;Bevaix
1184;2023;Gorgier
1185;2024;St-Aubin-Sauges
1186;2025;Chez-le-Bart
1187;2027;Fresens-Montalchez
1188;2027;Montalchez
1189;2027;Fresens
1190;2028;Vaumarcus
1191;2034;Peseux
1192;2035;Corcelles NE
1193;2036;Cormondrèche
1194;2042;Valangin
1195;2043;Boudevilliers
1196;2046;Fontaines NE
1197;2052;Fontainemelon
1198;2053;Cernier
1199;2054;Chézard-St-Martin
1200;2054;Les Vieux-Prés
1201;2056;Dombresson
1202;2057;Villiers
1203;2058;Le Pâquier NE
1204;2058;La Joux-du-Plâne
1205;2063;Vilars NE
1206;2063;Engollon
1207;2063;Fenin
1208;2063;Saules
1209;2065;Savagnier
1210;2067;Chaumont
1211;2068;Hauterive
1212;2072;St-Blaise
1213;2073;Enges
1214;2074;Marin-Epagnier
1215;2074;Marin-Centre
1216;2075;Thielle-Wavre
1217;2075;Thielle
1218;2075;Wavre
1219;2075;Zihlbrücke
1220;2076;Gals
1221;2087;Cornaux NE
1222;2088;Cressier NE
1223;2096;Neuchâtel
1224;2103;Noiraigue
1225;2105;Travers
1226;2108;Couvet
1227;2108;Les Ruillères
1228;2112;Môtiers NE
1229;2113;Boveresse
1230;2114;Fleurier
1231;2115;Buttes
1232;2116;Mont-de-Buttes
1233;2117;La Côte-aux-Fées
1234;2123;St-Sulpice NE
1235;2124;Les Sagnettes
1236;2126;Les Verrières
1237;2127;Les Bayards
1238;2149;Champ-du-Moulin
1239;2202;Chambrelien
1240;2203;Rochefort
1241;2205;Montmollin
1242;2206;Geneveys-Coffrane
1243;2207;Coffrane
1244;2208;Les Hauts-Geneveys
1245;2209;La Vue-des-Alpes
1246;2209;Les Loges
1247;2300;La Chaux-de-Fonds
1248;2300;La Chaux-de-Fds 1
1249;2300;Chdfds 1 Dist
1250;2300;Chdfds Base Colis
1251;2301;La Chaux-de-Fonds
1252;2302;La Chaux-de-Fonds
1253;2303;La Chaux-de-Fonds
1254;2304;La Chaux-de-Fonds
1255;2305;La Chaux-de-Fonds
1256;2306;La Chaux-de-Fonds
1257;2314;La Sagne NE
1258;2315;Petit-Martel
1259;2316;Ponts-de-Martel
1260;2318;Brot-Plamboz
1261;2318;Les Petits-Ponts
1262;2318;Brot-Dessus
1263;2322;Le Crêt-du-Locle
1264;2325;Les Planchettes
1265;2325;Les Joux-Derrière
1266;2332;La Cibourg
1267;2333;La Ferrière
1268;2336;Les Bois
1269;2336;Le Boéchet
1270;2338;Emibois-Muriaux
1271;2340;Le Noirmont
1272;2345;Les Breuleux
1273;2345;Le Cerneux-Veusil
1274;2345;Chaux-des-Breuleux
1275;2350;Saignelégier
1276;2353;Les Pommerats
1277;2354;Goumois
1278;2400;Le Locle
1279;2405;La Chaux-du-Milieu
1280;2406;La Brévine
1281;2406;Les Taillères
1282;2407;La Châtagne
1283;2408;Le Brouillet
1284;2413;Le Prévoux
1285;2414;Cerneux-Péquignot
1286;2416;Les Brenets
1287;2416;Les Frêtes
1288;2500;Biel/Bienne
1289;2500;Biel/Bienne 1
1290;2500;Biel/Bienne 3
1291;2500;Biel/Bienne 4
1292;2500;Biel/Bienne 5
1293;2500;Biel/Bienne 6
1294;2500;Biel/Bienne 7
1295;2500;Biel/Bienne 8
1296;2500;Biel/Bienne 9
1297;2500;Biel 1 BZ Zust
1298;2501;Biel/Bienne
1299;2501;Biel Swisscom
1300;2502;Biel/Bienne
1301;2503;Biel/Bienne
1302;2504;Biel/Bienne
1303;2505;Biel/Bienne
1304;2510;Biel/Bienne Pbasis
1305;2512;Tüscherz-Alfermée
1306;2513;Twann
1307;2514;Ligerz
1308;2515;Prêles
1309;2516;Lamboing
1310;2517;Diesse
1311;2518;Nods
1312;2520;La Neuveville
1313;2523;Lignières
1314;2525;Le Landeron
1315;2532;Magglingen/Macolin
1316;2533;Evilard
1317;2534;Orvin
1318;2534;Les Prés-d'Orvin
1319;2535;Frinvillier
1320;2536;Plagne
1321;2537;Vauffelin
1322;2538;Romont BE
1323;2540;Grenchen
1324;2540;Grenchen 1
1325;2540;Grenchen 2
1326;2542;Pieterlen
1327;2543;Lengnau BE
1328;2544;Bettlach
1329;2545;Selzach
1330;2552;Orpund
1331;2553;Safnern
1332;2554;Meinisberg
1333;2555;Brügg BE
1334;2556;Scheuren
1335;2556;Schwadernau
1336;2557;Studen BE
1337;2558;Aegerten
1338;2560;Nidau
1339;2562;Port
1340;2563;Ipsach
1341;2564;Bellmund
1342;2565;Jens
1343;2572;Sutz
1344;2572;Mörigen
1345;2575;Täuffelen
1346;2575;Gerolfingen
1347;2575;Hagneck
1348;2576;Lüscherz
1349;2577;Siselen BE
1350;2577;Finsterhennen
1351;2578;Brüttelen
1352;2603;Péry
1353;2604;La Heutte
1354;2605;Sonceboz-Sombeval
1355;2606;Corgémont
1356;2607;Cortébert
1357;2608;Courtelary
1358;2608;Montagne-Courtlary
1359;2610;St-Imier
1360;2610;Mont-Soleil
1361;2610;Mont-Crosin
1362;2612;Cormoret
1363;2613;Villeret
1364;2615;Sonvilier
1365;2615;Montagne-Sonvilier
1366;2616;Renan BE
1367;2710;Tavannes
1368;2711;Le Prédame
1369;2712;Le Fuet
1370;2713;Bellelay
1371;2714;Les Genevez JU
1372;2715;Châtelat-Monible
1373;2715;Châtelat
1374;2715;Monible
1375;2716;Sornetan
1376;2717;Fornet-Dessous
1377;2717;Rebévelier
1378;2718;Lajoux JU
1379;2718;Fornet-Dessus
1380;2720;Tramelan
1381;2720;La Tanne
1382;2722;Les Reussilles
1383;2723;Mont-Tramelan
1384;2732;Reconvilier
1385;2732;Saicourt
1386;2732;Saules BE
1387;2732;Loveresse
1388;2733;Pontenet
1389;2735;Malleray-Bévilard
1390;2735;Bévilard
1391;2735;Champoz
1392;2735;Malleray
1393;2736;Sorvilier
1394;2738;Court
1395;2740;Moutier
1396;2740;Moutier 1
1397;2740;Moutier 2
1398;2742;Perrefitte
1399;2743;Eschert
1400;2744;Belprahon
1401;2745;Grandval
1402;2746;Crémines
1403;2747;Corcelles BE
1404;2747;Seehof
1405;2748;Souboz-Les Ecorch
1406;2762;Roches BE
1407;2800;Delémont
1408;2800;Delémont 1
1409;2800;Delémont 2
1410;2800;Delémont 1 Dist
1411;2800;Delémont Base Col
1412;2800;Delémont car post
1413;2802;Develier
1414;2803;Bourrignon
1415;2805;Soyhières
1416;2806;Mettembert
1417;2807;Pleigne
1418;2807;Lucelle
1419;2812;Movelier
1420;2813;Ederswiler
1421;2814;Roggenburg
1422;2822;Courroux
1423;2823;Courcelon
1424;2824;Vicques
1425;2825;Courchapoix
1426;2826;Corban
1427;2827;Mervelier
1428;2827;Schelten
1429;2828;Montsevelier
1430;2829;Vermes
1431;2830;Courrendlin
1432;2830;Vellerat
1433;2830;Choindez
1434;2832;Rebeuvelier
1435;2842;Rossemaison
1436;2843;Châtillon JU
1437;2852;Courtételle
1438;2853;Courfaivre
1439;2854;Bassecourt
1440;2855;Glovelier
1441;2856;Boécourt
1442;2857;Montavon
1443;2863;Undervelier
1444;2864;Soulce
1445;2873;Saulcy
1446;2874;St-Brais
1447;2874;Montfavergier
1448;2875;Montfaucon
1449;2875;Les Enfers
1450;2877;Le Bémont JU
1451;2882;St-Ursanne
1452;2883;Montmelon
1453;2884;Montenol
1454;2885;Epauvillers
1455;2886;Epiquerez
1456;2887;Soubey
1457;2888;Seleute
1458;2889;Ocourt
1459;2900;Porrentruy
1460;2900;Porrentruy 1
1461;2900;Porrentruy 2
1462;2900;Porrentruy 1 Dist
1463;2900;Porrentruy Fil Col
1464;2902;Fontenais
1465;2903;Villars-sur-Font
1466;2904;Bressaucourt
1467;2905;Courtedoux
1468;2906;Chevenez
1469;2907;Rocourt
1470;2908;Grandfontaine
1471;2912;Réclère-Roche-d'Or
1472;2912;Réclère
1473;2912;Roche-d'Or
1474;2914;Damvant
1475;2915;Bure
1476;2916;Fahy
1477;2922;Courchavon
1478;2923;Courtemaîche
1479;2924;Montignez
1480;2925;Buix
1481;2926;Boncourt
1482;2932;Coeuve
1483;2933;Damphreux-Lugnez
1484;2933;Damphreux
1485;2933;Lugnez
1486;2935;Beurnevésin
1487;2942;Alle
1488;2943;Vendlincourt
1489;2944;Bonfol
1490;2946;Miécourt
1491;2947;Charmoille
1492;2950;Courgenay
1493;2950;Courtemautruy
1494;2952;Cornol
1495;2953;Fregiécourt-Pleuj
1496;2953;Fregiécourt
1497;2953;Pleujouse
1498;2954;Asuel
1499;3000;Bern
1500;3000;Bern 2
1501;3000;Bern 5
1502;3000;Bern 6
1503;3000;Bern 7
1504;3000;Bern 8
1505;3000;Bern 9
1506;3000;Bern 11
1507;3000;Bern 13
1508;3000;Bern 14
1509;3000;Bern 15
1510;3000;Bern 16
1511;3000;Bern 17
1512;3000;Bern 21
1513;3000;Bern 22
1514;3000;Bern 23
1515;3000;Bern 25
1516;3000;Bern 26
1517;3000;Bern 31
1518;3000;Bern 32
1519;3000;Bern 1 BZ Zust
1520;3000;Bern 60 UPD
1521;3000;Bern 65
1522;3000;Bern Paketbasis
1523;3000;Bern 71 CS PZ
1524;3000;Bern Postauto
1525;3000;Bern Paketzentrum
1526;3000;Bern Radio Schweiz
1527;3000;Bern 94
1528;3001;Bern
1529;3002;Bern Postfinance
1530;3003;Bern
1531;3003;Bern 3 Nationalrat
1532;3003;Bern 3 Ständerat
1533;3004;Bern
1534;3005;Bern
1535;3006;Bern
1536;3007;Bern
1537;3008;Bern
1538;3010;Bern
1539;3011;Bern
1540;3012;Bern
1541;3013;Bern
1542;3014;Bern
1543;3015;Bern
1544;3018;Bern
1545;3019;Bern
1546;3020;Bern
1547;3024;Bern
1548;3027;Bern
1549;3030;Bern
1550;3030;Bern KPD
1551;3030;Bern TD
1552;3032;Hinterkappelen
1553;3033;Wohlen b. Bern
1554;3034;Murzelen
1555;3035;Frieswil
1556;3036;Detligen
1557;3037;Herrenschwanden
1558;3038;Kirchlindach
1559;3040;Bern
1560;3042;Ortschwaben
1561;3043;Uettligen
1562;3044;Innerberg-Säriswil
1563;3044;Innerberg
1564;3044;Säriswil
1565;3045;Meikirch
1566;3046;Wahlendorf
1567;3047;Bremgarten b. Bern
1568;3048;Worblaufen
1569;3050;Bern
1570;3052;Zollikofen
1571;3053;Münchenbuchsee
1572;3053;Deisswil Mbuchsee
1573;3053;Diemerswil
1574;3053;Wiggiswil
1575;3054;Schüpfen
1576;3063;Ittigen
1577;3065;Bolligen
1578;3065;Bolligen Dorf
1579;3065;Bolligen Station
1580;3066;Stettlen
1581;3067;Boll
1582;3068;Utzigen
1583;3072;Ostermundigen
1584;3072;Ostermundigen 1
1585;3072;Ostermundigen 2
1586;3072;Ostermundigen SB
1587;3073;Gümligen
1588;3074;Muri b. Bern
1589;3075;Rüfenacht BE
1590;3076;Worb
1591;3076;Worb 1
1592;3076;Worb 2
1593;3077;Enggistein
1594;3078;Richigen
1595;3082;Schlosswil
1596;3083;Trimstein
1597;3084;Wabern
1598;3086;Zimmerwald
1599;3086;Englisberg
1600;3087;Niedermuhlern
1601;3088;Rüeggisberg
1602;3088;Oberbütschel
1603;3089;Hinterfultigen
1604;3095;Spiegel b. Bern
1605;3096;Oberbalm
1606;3097;Liebefeld
1607;3098;Köniz
1608;3098;Schliern b. Köniz
1609;3099;Rüti b.Riggisberg
1610;3110;Münsingen
1611;3112;Allmendingen b. BE
1612;3113;Rubigen
1613;3114;Wichtrach
1614;3114;Niederwichtrach
1615;3114;Oberwichtrach
1616;3115;Gerzensee
1617;3116;Kirchdorf BE
1618;3116;Mühledorf BE
1619;3116;Noflen BE
1620;3122;Kehrsatz
1621;3123;Belp
1622;3124;Belpberg
1623;3125;Toffen
1624;3126;Kaufdorf
1625;3126;Gelterfingen
1626;3127;Mühlethurnen
1627;3127;Lohnstorf
1628;3128;Kirchenthurnen
1629;3128;Rümligen
1630;3132;Riggisberg
1631;3144;Gasel
1632;3145;Niederscherli
1633;3147;Mittelhäusern
1634;3148;Lanzenhäusern
1635;3150;Schwarzenburg
1636;3152;Mamishaus
1637;3153;Rüschegg Gambach
1638;3154;Rüschegg Heubach
1639;3154;Rüschegg Graben
1640;3155;Helgisried
1641;3156;Riffenmatt
1642;3157;Milken
1643;3158;Guggisberg
1644;3159;Riedstätt
1645;3172;Niederwangen BE
1646;3173;Oberwangen b. Bern
1647;3174;Thörishaus
1648;3175;Flamatt
1649;3176;Neuenegg
1650;3177;Laupen BE
1651;3178;Bösingen
1652;3179;Kriechenwil
1653;3182;Ueberstorf
1654;3183;Albligen
1655;3184;Wünnewil
1656;3185;Schmitten FR
1657;3186;Düdingen
1658;3202;Frauenkappelen
1659;3203;Mühleberg
1660;3204;Rosshäusern
1661;3205;Gümmenen
1662;3206;Rizenbach
1663;3206;Wallenbuch
1664;3207;Wileroltigen
1665;3207;Golaten
1666;3208;Gurbrü
1667;3210;Kerzers
1668;3212;Gurmels
1669;3212;Kleingurmels
1670;3213;Liebistorf
1671;3213;Kleinbösingen
1672;3214;Ulmiz
1673;3215;Gempenach
1674;3215;Büchslen
1675;3215;Lurtigen
1676;3216;Ried b. Kerzers
1677;3216;Agriswil
1678;3225;Müntschemier
1679;3226;Treiten
1680;3232;Ins
1681;3233;Tschugg
1682;3234;Vinelz
1683;3235;Erlach
1684;3236;Gampelen
1685;3250;Lyss
1686;3250;Lyss Zustellung
1687;3251;Wengi b. Büren
1688;3251;Ruppoldsried
1689;3252;Worben
1690;3253;Schnottwil
1691;3254;Messen
1692;3254;Balm b. Messen
1693;3255;Rapperswil BE
1694;3256;Dieterswil
1695;3256;Bangerten
1696;3257;Grossaffoltern
1697;3257;Ammerzwil BE
1698;3262;Suberg
1699;3263;Büetigen
1700;3264;Diessbach b.Büren
1701;3266;Wiler b. Seedorf
1702;3267;Seedorf BE
1703;3268;Lobsigen
1704;3270;Aarberg
1705;3271;Radelfingen
1706;3272;Walperswil
1707;3272;Epsach
1708;3273;Kappelen
1709;3274;Hermrigen
1710;3274;Bühl BE
1711;3274;Merzligen
1712;3280;Murten
1713;3280;Meyriez
1714;3280;Altavilla
1715;3280;Greng
1716;3282;Bargen BE
1717;3283;Kallnach
1718;3283;Niederried b. Kall
1719;3284;Fräschels
1720;3285;Galmiz
1721;3286;Muntelier
1722;3292;Busswil b. Büren
1723;3293;Dotzigen
1724;3294;Büren an der Aare
1725;3294;Meienried
1726;3295;Rüti b. Büren
1727;3296;Arch
1728;3297;Leuzigen
1729;3298;Oberwil b. Büren
1730;3302;Moosseedorf
1731;3303;Jegenstorf
1732;3303;Münchringen
1733;3303;Zuzwil BE
1734;3303;Ballmoos
1735;3305;Iffwil
1736;3305;Scheunen
1737;3306;Etzelkofen
1738;3307;Brunnenthal
1739;3308;Grafenried
1740;3309;Kernenried
1741;3309;Zauggenried
1742;3312;Fraubrunnen
1743;3313;Büren zum Hof
1744;3314;Schalunen
1745;3315;Bätterkinden
1746;3315;Kräiligen
1747;3317;Limpach
1748;3317;Mülchi
1749;3321;Schönbühl EKZ
1750;3322;Schönbühl-Urtenen
1751;3322;Mattstetten
1752;3322;Urtenen
1753;3323;Bäriswil BE
1754;3324;Hindelbank
1755;3324;Mötschwil
1756;3325;Hettiswil
1757;3326;Krauchthal
1758;3360;Herzogenbuchsee
1759;3362;Niederönz
1760;3363;Oberönz
1761;3365;Grasswil
1762;3365;Seeberg
1763;3366;Bettenhausen
1764;3366;Bollodingen
1765;3367;Thörigen
1766;3367;Ochlenberg
1767;3368;Bleienbach
1768;3372;Wanzwil
1769;3373;Röthenbach Hbsee
1770;3373;Heimenhausen
1771;3374;Wangenried
1772;3375;Inkwil
1773;3376;Graben
1774;3376;Berken
1775;3377;Walliswil b.Wangen
1776;3380;Wangen an der Aare
1777;3380;Walliswil-Nbipp
1778;3400;Burgdorf
1779;3400;Burgdorf 1
1780;3400;Burgdorf Zust
1781;3400;Burgdorf Pbasis
1782;3401;Burgdorf
1783;3402;Burgdorf
1784;3412;Heimiswil
1785;3413;Kaltacker
1786;3414;Oberburg
1787;3415;Hasle-Rüegsau
1788;3415;Hasle b. Burgdorf
1789;3415;Schafhausen i. E.
1790;3415;Rüegsauschachen
1791;3416;Affoltern BE
1792;3417;Rüegsau
1793;3418;Rüegsbach
1794;3419;Biembach
1795;3421;Lyssach
1796;3421;Rüti b. Lyssach
1797;3422;Kirchberg BE
1798;3422;Rüdtligen
1799;3422;Alchenflüh
1800;3423;Ersigen
1801;3424;Niederösch
1802;3424;Oberösch
1803;3425;Koppigen
1804;3425;Willadingen
1805;3426;Aefligen
1806;3427;Utzenstorf
1807;3428;Wiler b.Utzenstorf
1808;3429;Höchstetten-Hells
1809;3429;Höchstetten
1810;3429;Hellsau
1811;3432;Lützelflüh-Goldb
1812;3433;Schwanden i. E.
1813;3434;Obergoldbach
1814;3435;Ramsei
1815;3436;Zollbrück
1816;3437;Rüderswil
1817;3438;Lauperswil
1818;3439;Ranflüh
1819;3452;Grünenmatt
1820;3453;Heimisbach
1821;3454;Sumiswald
1822;3455;Grünen
1823;3456;Trachselwald
1824;3457;Wasen im Emmental
1825;3462;Weier im Emmental
1826;3463;Häusernmoos
1827;3464;Schmidigen-Mühlew
1828;3465;Dürrenroth
1829;3472;Wynigen
1830;3472;Rumendingen
1831;3473;Alchenstorf
1832;3474;Rüedisbach
1833;3475;Riedtwil
1834;3475;Hermiswil
1835;3476;Oschwand
1836;3502;Tägertschi
1837;3503;Gysenstein
1838;3504;Niederhünigen
1839;3504;Oberhünigen
1840;3506;Grosshöchstetten
1841;3507;Biglen
1842;3508;Arni BE
1843;3510;Konolfingen
1844;3510;Konolfingen 1
1845;3510;Konolfingen 2
1846;3510;Konolfingen 3
1847;3510;Freimettigen
1848;3510;Häutligen
1849;3512;Walkringen
1850;3513;Bigenthal
1851;3531;Oberthal
1852;3532;Zäziwil
1853;3532;Mirchel
1854;3533;Bowil
1855;3534;Signau
1856;3535;Schüpbach
1857;3536;Aeschau
1858;3537;Eggiwil
1859;3538;Röthenbach i. E.
1860;3543;Emmenmatt
1861;3550;Langnau i. E.
1862;3550;Langnau i.E. Pfil.
1863;3551;Oberfrittenbach
1864;3552;Bärau
1865;3553;Gohl
1866;3555;Trubschachen
1867;3556;Trub
1868;3557;Fankhaus (Trub)
1869;3600;Thun
1870;3600;Thun 2
1871;3600;Thun 2 BZ Zust
1872;3600;Thun Swisscom
1873;3600;Thun Paketbasis
1874;3601;Thun
1875;3602;Thun
1876;3603;Thun
1877;3604;Thun
1878;3605;Thun
1879;3606;Thun
1880;3607;Thun
1881;3608;Thun
1882;3612;Steffisburg
1883;3613;Steffisburg
1884;3614;Unterlangenegg
1885;3615;Heimenschwand
1886;3615;Wangelen
1887;3616;Schwarzenegg
1888;3617;Fahrni b. Thun
1889;3618;Süderen
1890;3619;Eriz
1891;3619;Innereriz
1892;3622;Homberg b. Thun
1893;3623;Teuffenthal BE
1894;3623;Horrenbach-Buchen
1895;3624;Goldiwil (Thun)
1896;3624;Schwendibach
1897;3625;Heiligenschwendi
1898;3626;Hünibach
1899;3627;Heimberg
1900;3628;Uttigen
1901;3628;Kienersrüti
1902;3629;Kiesen
1903;3629;Oppligen
1904;3629;Jaberg
1905;3631;Höfen b. Thun
1906;3632;Stocken
1907;3632;Niederstocken
1908;3632;Oberstocken
1909;3633;Amsoldingen
1910;3634;Thierachern
1911;3635;Uebeschi
1912;3636;Längenbühl
1913;3636;Forst
1914;3638;Blumenstein
1915;3638;Pohlern
1916;3645;Gwatt (Thun)
1917;3645;Zwieselberg
1918;3646;Einigen
1919;3647;Reutigen
1920;3652;Hilterfingen
1921;3653;Oberhofen Thun'see
1922;3654;Gunten
1923;3655;Sigriswil
1924;3656;Tschingel
1925;3656;Aeschlen ob Gunten
1926;3656;Ringoldswil
1927;3657;Schwanden Sigrisw
1928;3658;Merligen
1929;3661;Uetendorf
1930;3662;Seftigen
1931;3663;Gurzelen
1932;3664;Burgistein
1933;3664;Burgistein Dorf
1934;3665;Wattenwil
1935;3671;Brenzikofen
1936;3671;Herbligen
1937;3672;Oberdiessbach
1938;3672;Aeschlen
1939;3673;Linden
1940;3674;Bleiken
1941;3700;Spiez
1942;3700;Spiezwiler
1943;3700;Spiezmoos
1944;3702;Hondrich
1945;3703;Aeschi b. Spiez
1946;3703;Aeschiried
1947;3704;Krattigen
1948;3705;Faulensee
1949;3706;Leissigen
1950;3707;Därligen
1951;3711;Emdthal
1952;3711;Mülenen
1953;3712;Niesen Kulm
1954;3713;Reichenbach i. K.
1955;3714;Frutigen
1956;3714;Wengi b. Frutigen
1957;3714;Frutigen Pfiliale
1958;3715;Adelboden
1959;3715;Boden (Adelboden)
1960;3716;Kandergrund
1961;3717;Blausee-Mitholz
1962;3718;Kandersteg
1963;3722;Scharnachtal
1964;3723;Kiental
1965;3724;Ried (Frutigen)
1966;3725;Achseten
1967;3752;Wimmis
1968;3753;Oey
1969;3754;Diemtigen
1970;3755;Horboden
1971;3756;Zwischenflüh
1972;3757;Schwenden
1973;3757;Grimmialp
1974;3758;Latterbach
1975;3762;Erlenbach i. S.
1976;3763;Därstetten
1977;3764;Weissenburg
1978;3765;Oberwil i. S.
1979;3766;Boltigen
1980;3766;Weissenbach
1981;3770;Zweisimmen
1982;3770;Zweisimmen Pfilial
1983;3771;Blankenburg
1984;3772;St. Stephan
1985;3773;Matten(St.Stephan)
1986;3775;Lenk im Simmental
1987;3776;Oeschseite
1988;3777;Saanenmöser
1989;3778;Schönried
1990;3780;Gstaad
1991;3781;Turbach
1992;3782;Lauenen b. Gstaad
1993;3783;Grund b. Gstaad
1994;3784;Feutersoey
1995;3785;Gsteig b. Gstaad
1996;3792;Saanen
1997;3800;Interlaken
1998;3800;Unterseen
1999;3800;Matten b. Interl
2000;3800;Sundlauenen
2001;3800;Interlaken Pfil.
2002;3800;Interlaken Pauto
2003;3801;Interlaken Ausg
2004;3801;Kleine Scheidegg
2005;3801;Eigergletscher
2006;3801;Jungfraujoch
2007;3802;Waldegg BE
2008;3803;Beatenberg
2009;3804;Habkern
2010;3805;Goldswil
2011;3806;Bönigen
2012;3807;Iseltwald
2013;3812;Wilderswil
2014;3813;Saxeten
2015;3814;Gsteigwiler
2016;3815;Zweilütschinen
2017;3816;Lütschental
2018;3816;Burglauenen
2019;3818;Grindelwald
2020;3822;Lauterbrunnen
2021;3822;Isenfluh
2022;3823;Wengen
2023;3824;Stechelberg
2024;3825;Mürren
2025;3826;Gimmelwald
2026;3852;Ringgenberg BE
2027;3853;Niederried Interl
2028;3854;Oberried Brienz
2029;3855;Brienz BE
2030;3855;Axalp
2031;3855;Rothorn Kulm
2032;3855;Schwanden-Brienz
2033;3856;Brienzwiler
2034;3857;Unterbach BE
2035;3858;Hofstetten BE
2036;3860;Meiringen
2037;3860;Rosenlaui
2038;3862;Innertkirchen
2039;3863;Gadmen
2040;3863;Nessental
2041;3864;Guttannen
2042;3900;Brig
2043;3900;Gamsen
2044;3900;Brigerbad
2045;3900;Brig BZ Zustellung
2046;3900;Brig Paketbasis
2047;3900;Brig Postauto
2048;3901;Brig Ausgänge
2049;3901;Birgisch
2050;3901;Rothwald
2051;3901;Gondo
2052;3902;Glis
2053;3903;Mund
2054;3904;Naters
2055;3905;Saas Almagell
2056;3906;Saas Fee
2057;3907;Simplon Dorf
2058;3907;Simplon Hospiz
2059;3907;Gabi (Simplon)
2060;3908;Saas Balen
2061;3909;Eisten
2062;3910;Saas Grund
2063;3911;Ried-Brig
2064;3912;Termen
2065;3913;Rosswald
2066;3914;Blatten b. Naters
2067;3914;Belalp
2068;3915;Goppenstein
2069;3916;Ferden
2070;3917;Kippel
2071;3918;Wiler (Lötschen)
2072;3919;Blatten(Lötschen)
2073;3920;Zermatt
2074;3920;Gornergrat
2075;3922;Stalden VS
2076;3922;Kalpetran
2077;3923;Törbel
2078;3924;St. Niklaus VS
2079;3924;Gasenried
2080;3925;Grächen
2081;3926;Embd
2082;3927;Herbriggen
2083;3928;Randa
2084;3929;Täsch
2085;3930;Visp
2086;3931;Eyholz
2087;3931;Lalden
2088;3932;Visperterminen
2089;3933;Staldenried
2090;3934;Zeneggen
2091;3935;Bürchen
2092;3936;St. German
2093;3937;Baltschieder
2094;3938;Ausserberg
2095;3939;Eggerberg
2096;3940;Steg VS
2097;3942;Raron
2098;3942;Niedergesteln
2099;3943;Eischoll
2100;3944;Unterbäch VS
2101;3945;Gampel
2102;3945;Niedergampel
2103;3946;Turtmann
2104;3946;Gruben
2105;3947;Ergisch
2106;3948;Unterems
2107;3948;Oberems
2108;3949;Hohtenn
2109;3951;Agarn
2110;3952;Susten
2111;3953;Leuk Stadt
2112;3953;Inden
2113;3954;Leukerbad
2114;3955;Albinen
2115;3956;Feschel-Guttet
2116;3956;Feschel
2117;3956;Guttet
2118;3957;Erschmatt
2119;3957;Bratsch
2120;3960;Sierre
2121;3960;Corin-de-la-Crête
2122;3960;Loc
2123;3960;Niouc
2124;3960;Sierre Fil. Colis
2125;3961;Sierre Sorties
2126;3961;Vissoie
2127;3961;St-Luc
2128;3961;Chandolin
2129;3961;Ayer
2130;3961;Zinal
2131;3961;Grimentz
2132;3961;St-Jean VS
2133;3962;Montana-Vermala
2134;3962;Montana
2135;3962;Aminona
2136;3963;Crans-sur-Sierre
2137;3964;Muraz (Sierre)
2138;3965;Chippis
2139;3966;Chalais
2140;3966;Réchy
2141;3967;Vercorin
2142;3968;Veyras
2143;3969;Varen
2144;3970;Salgesch
2145;3971;Chermignon
2146;3971;Chermignon-Bas
2147;3971;Ollon VS
2148;3972;Miège
2149;3973;Venthône
2150;3974;Mollens VS
2151;3975;Randogne
2152;3975;Randogne-Village
2153;3976;Noës
2154;3977;Granges VS
2155;3978;Flanthey
2156;3979;Grône
2157;3981;Brig Ausgänge
2158;3981;Niederwald
2159;3981;Blitzingen
2160;3981;Gluringen
2161;3981;Geschinen
2162;3981;Obergesteln
2163;3982;Bitsch
2164;3983;Mörel
2165;3983;Bister
2166;3983;Filet
2167;3983;Goppisberg
2168;3984;Fiesch
2169;3984;Fieschertal
2170;3985;Münster VS
2171;3986;Ried-Mörel
2172;3987;Riederalp
