oid;PLZ;Ort
12;1000;Lausanne 14
13;1000;Lausanne 16
14;1000;Lausanne 17
15;1000;Lausanne 19
16;1000;Lausanne 20
17;1000;Lausanne 21
18;1000;Lausanne 22
19;1000;Lausanne 23
20;1000;Lausanne 24
21;1000;Lausanne 25
22;1000;Lausanne 26
23;1000;Lausanne 27
24;1000;Lausanne 30
25;1000;Lausanne 9 Ch Case
26;1000;Lausanne 17 R Case
27;1000;Lausanne 1 CC Dist
28;1000;Lausanne Swisscom
29;1001;Lausanne
30;1001;Lausanne DAP
31;1002;Lausanne
32;1003;Lausanne
33;1004;Lausanne
34;1005;Lausanne
35;1006;Lausanne
36;1007;Lausanne
37;1008;Prilly
38;1008;Jouxtens-Mézery
39;1009;Pully
40;1010;Lausanne
41;1011;Lausanne
42;1012;Lausanne
43;1014;Lausanne Adm cant
44;1015;Lausanne
45;1017;Lausanne Veillon
46;1018;Lausanne
47;1020;Renens VD
48;1020;Renens VD 1
49;1020;Renens VD 2
50;1022;Chavannes-Renens
51;1023;Crissier
52;1024;Ecublens VD
53;1025;St-Sulpice VD
54;1026;Echandens-Denges
55;1026;Denges
56;1026;Echandens
57;1027;Lonay
58;1028;Préverenges
59;1029;Villars-Ste-Croix
60;1030;Bussigny-Lausanne
61;1031;Mex VD
62;1032;Romanel-s-Lausanne
63;1033;Cheseaux-Lausanne
64;1034;Boussens
65;1035;Bournens
66;1036;Sullens
67;1037;Etagnières
68;1038;Bercher
69;1040;Echallens
70;1040;Villars-le-Terroir
71;1041;Echallens Sorties
72;1041;St-Barthélemy VD
73;1041;Oulens-Echallens
74;1041;Bettens
75;1041;Dommartin
76;1041;Montaubion-Chardon
77;1041;Peyres-Possens
78;1041;Boulens
79;1041;Naz
80;1041;Poliez-le-Grand
81;1041;Poliez-Pittet
82;1041;Bottens
83;1041;Bretigny-Morrens
84;1042;Assens
85;1042;Malapalud
86;1042;Bioley-Orjulaz
87;1043;Sugnens
88;1044;Fey
89;1045;Ogens
90;1051;Mont-Lausanne Poly
91;1052;Mont-sur-Lausanne
92;1053;Cugy VD
93;1054;Morrens VD
94;1055;Froideville
95;1058;Villars-Tiercelin
96;1059;Peney-le-Jorat
97;1061;Villars-Mendraz
98;1062;Sottens
99;1063;Chapelle-s-Moudon
100;1063;Martherenges
101;1064;St-Cierges
102;1064;Corrençon
103;1066;Epalinges
104;1068;Les Monts-de-Pully
105;1070;Puidoux-Gare
106;1070;Puidoux
107;1071;Chexbres
108;1072;Forel (Lavaux)
109;1073;Savigny
110;1074;Mollie-Margot
111;1076;Ferlens VD
112;1077;Servion
113;1078;Essertes
114;1080;Les Cullayes
115;1081;Montpreveyres
116;1082;Corcelles-le-Jorat
117;1083;Mézières VD
118;1084;Carrouge VD
119;1085;Vulliens
120;1086;Vucherens
121;1088;Ropraz
122;1090;La Croix (Lutry)
123;1091;Grandvaux
124;1091;Aran
125;1091;Chenaux
126;1092;Belmont-Lausanne
127;1093;La Conversion
128;1094;Paudex
129;1095;Lutry
130;1096;Cully
131;1097;Riex
132;1098;Epesses
133;1099;Montpreveyres Foto
134;1110;Morges
135;1110;Morges 1
136;1110;Morges 2
137;1110;Morges 3
138;1112;Echichens
139;1113;St-Saphorin-Morges
140;1114;Colombier VD
141;1115;Vullierens
142;1116;Cottens VD
143;1117;Grancy
144;1121;Bremblens
145;1122;Romanel-sur-Morges
146;1123;Aclens
147;1124;Gollion
148;1125;Monnaz
149;1126;Vaux-sur-Morges
150;1127;Clarmont
151;1128;Reverolle
152;1131;Tolochenaz
153;1132;Lully VD
154;1133;Lussy-sur-Morges
155;1134;Vufflens-Château
156;1134;Chigny
157;1135;Denens
158;1136;Bussy-Chardonney
159;1137;Yens
160;1138;Villars-sous-Yens
161;1141;Sévery
162;1142;Pampigny
163;1143;Apples
164;1144;Ballens
165;1145;Bière
166;1146;Mollens VD
167;1147;Montricher
168;1148;L'Isle
169;1148;Mauraz
170;1148;Villars-Bozon
171;1149;Berolle
172;1162;St-Prex
173;1163;Etoy
174;1164;Buchillon
175;1165;Allaman
176;1166;Perroy
177;1170;Aubonne
178;1172;Bougy-Villars
179;1173;Féchy
180;1174;Montherod
181;1174;Pizy
182;1175;Lavigny
183;1176;St-Livres
184;1180;Rolle
185;1180;Tartegnin
186;1182;Gilly
187;1183;Bursins
188;1184;Luins
189;1184;Vinzel
190;1185;Mont-sur-Rolle
191;1186;Essertines-Rolle
192;1187;St-Oyens
193;1188;Gimel
194;1189;Saubraz
195;1195;Dully-Bursinel
196;1195;Dully
197;1195;Bursinel
198;1196;Gland
199;1196;Gland Fil. Colis
200;1197;Prangins
201;1200;Genève
202;1200;Genève 1
203;1200;Genève 3
204;1200;Genève 4
205;1200;Genève 2 Transit
206;1200;Genève 6
207;1200;Genève 7
208;1200;Genève 8
209;1200;Genève 9
210;1200;Genève 11
211;1200;Genève 12
212;1200;Genève 13
213;1200;Genève 16
214;1200;Genève 17
215;1200;Genève 19
216;1200;Genève 20
217;1200;Genève 21
218;1200;Genève 24
219;1200;Genève 25
220;1200;Genève 26
221;1200;Genève 28 Balexert
222;1200;Genève 29
223;1200;Genève 2 CC Dist
224;1200;Genève Base col.
225;1201;Genève
226;1202;Genève
227;1203;Genève
228;1204;Genève
229;1205;Genève
230;1206;Genève
231;1207;Genève
232;1208;Genève
233;1209;Genève
234;1211;Genève 1
235;1211;Genève 2
236;1211;Genève 3
237;1211;Genève 4
238;1211;Genève 5 off d'éch
239;1211;Genève 6
240;1211;Genève 7
241;1211;Genève 8
242;1211;Genève 9
243;1211;Genève 10
244;1211;Genève 11
245;1211;Genève 12
246;1211;Genève 13
247;1211;Genève 14
248;1211;Genève 16
249;1211;Genève 17
250;1211;Genève 18
251;1211;Genève 19
1;1000;Lausanne
252;1211;Genève 20
253;1211;Genève 21
254;1211;Genève 22
255;1211;Genève 23
256;1211;Genève 24
257;1211;Genève 25
258;1211;Genève 26
259;1211;Genève 27
260;1211;Genève 28
261;1211;Genève 29
262;1211;Genève 1 DAP
263;1211;Genève 2 Swisscom
264;1211;Genève 70 CS
265;1211;Genève 71 CS CP
266;1211;Genève 84 Votation
267;1211;Genève 5 Dépôt
268;1212;Grand-Lancy
269;1212;Grand-Lancy 1
270;1212;Grand-Lancy 2
271;1213;Petit-Lancy
272;1213;Petit-Lancy 1
273;1213;Petit-Lancy 2
274;1213;Onex
275;1214;Vernier
276;1215;Genève
277;1215;Genève ICC OLS
278;1215;Genève 15 Dépôt
279;1216;Cointrin
280;1217;Meyrin
281;1217;Meyrin 1
282;1217;Meyrin 2
283;1218;Le Grand-Saconnex
284;1218;Grand-Saconnex PAL
285;1219;Le Lignon
286;1219;Aïre
287;1219;Aïre Cases
288;1219;Châtelaine
289;1219;Châtelaine Cases
290;1220;Les Avanchets
291;1222;Vésenaz
292;1223;Cologny
293;1224;Chêne-Bougeries
294;1225;Chêne-Bourg
295;1226;Thônex
296;1227;Carouge GE
297;1227;Les Acacias
298;1227;La Praille
299;1228;Plan-les-Ouates
300;1231;Conches
301;1232;Confignon
302;1233;Bernex
303;1234;Vessy
304;1236;Cartigny
305;1237;Avully
306;1239;Collex
307;1241;Puplinge
308;1242;Satigny
309;1243;Presinge
310;1244;Choulex
311;1245;Collonge-Bellerive
312;1246;Corsier GE
313;1247;Anières
314;1248;Hermance
315;1251;Gy
316;1252;Meinier
317;1253;Vandoeuvres
318;1254;Jussy
319;1255;Veyrier
320;1256;Troinex
321;1257;La Croix-de-Rozon
322;1258;Perly
323;1260;Nyon
324;1260;Nyon 1
325;1260;Nyon 2
326;1260;Nyon 1 Dist
327;1260;Nyon car postal
328;1261;Nyon Sorties
329;1261;Burtigny
330;1261;Marchissy
331;1261;Le Vaud
332;1261;Longirod
333;1261;St-George
334;1262;Eysins
335;1263;Crassier
336;1264;St-Cergue
337;1265;La Cure
338;1266;Duillier
339;1267;Vich-Coinsins
340;1267;Vich
341;1267;Coinsins
342;1268;Begnins
343;1269;Bassins
344;1270;Trélex
345;1271;Givrins
346;1272;Genolier
347;1273;Arzier
348;1273;Le Muids
349;1274;Signy-Grens
350;1274;Signy
351;1274;Signy OLS
352;1274;Grens
353;1275;Chéserex
354;1276;Gingins
355;1277;Borex
356;1277;Arnex-sur-Nyon
357;1278;La Rippe
358;1279;Chavannes-de-Bogis
359;1279;Chavannes-Bogis LS
360;1279;Bogis-Bossey
361;1281;Russin
362;1282;Dardagny
363;1283;La Plaine
364;1284;Chancy
365;1285;Athenaz (Avusy)
366;1286;Soral
367;1287;Laconnex
368;1288;Aire-la-Ville
369;1289;Genève Serv. Spéc.
370;1290;Versoix
371;1290;Chavannes-des-Bois
372;1291;Commugny
373;1292;Chambésy
374;1293;Bellevue
375;1294;Genthod
376;1295;Mies-Tannay
377;1295;Mies
378;1295;Tannay
379;1296;Coppet
380;1297;Founex
381;1298;Céligny
382;1299;Crans-près-Céligny
383;1302;Vufflens-la-Ville
384;1303;Penthaz
385;1304;Cossonay-Ville
386;1304;Dizy
387;1304;Allens
388;1304;Senarclens
389;1305;Penthalaz
390;1306;Daillens
391;1307;Lussery-Villars
392;1308;La Chaux-Cossonay
393;1309;Cuarnens
394;1309;Chavannes-Veyron
395;1310;Daillens Centre Co
396;1310;Daillens Base Col
397;1312;Eclépens
398;1313;Ferreyres
399;1314;Moiry VD
400;1315;La Sarraz
401;1316;Chevilly
402;1317;Orny
403;1318;Pompaples
404;1321;Arnex-sur-Orbe
405;1322;Croy
406;1323;Romainmôtier
407;1324;Premier
408;1325;Vaulion
409;1326;Juriens
410;1327;La Praz
411;1328;Mont-la-Ville
412;1329;Bretonnières
413;1337;Vallorbe
414;1338;Ballaigues
415;1341;Orient
416;1342;Le Pont
417;1343;Les Charbonnières
418;1344;L'Abbaye
419;1345;Le Lieu
420;1346;Les Bioux
421;1347;Le Sentier
422;1347;Le Solliat
423;1348;Le Brassus
424;1350;Orbe
425;1352;Agiez
426;1353;Bofflens
427;1354;Montcherand
428;1355;L'Abergement
429;1355;Sergey
430;1356;Les Clées
431;1357;Lignerolle
432;1358;Valeyres-Rances
433;1359;Rances
434;1372;Bavois
435;1373;Chavornay
436;1374;Corcelles-Chavorn
437;1375;Penthéréaz
438;1376;Goumoens-la-Ville
439;1376;Eclagnens
440;1376;Goumoens-le-Jux
441;1400;Yverdon-les-Bains
442;1400;Yverdon 1
443;1400;Yverdon 2
444;1400;Yverdon 3
