pid;Anrede;PLZ;Ort;idPersonenTyp;import
37472;3;3202;Frauenkappelen;1;0
37476;3;3013;Bern;1;0
37477;2;3013;Bern ;1;0
37487;3;3323;Bäriswil BE;1;0
37490;3;3012;Bern;1;0
37493;3;3011;Bern;1;0
37495;2;3775;Lenk im Simmental;1;0
37550;2;3013;Bern;1;0
37556;3;3006;Bern;1;0
37557;2;3006;Bern;1;0
37574;2;3063;Ittigen  ;1;0
37624;3;3014;Bern;1;0
37625;3;3007;Bern;1;0
37626;2;3007;Bern;1;0
37651;3;3013;Bern;1;0
37669;3;3004;Bern;1;0
37670;3;1003;Lausanne;1;0
37711;3;3098;Köniz;1;0
37712;3;1789;Lugnorre;1;0
37750;2;3012;Bern;1;0
37763;3;8057;Zürich;1;0
37784;2;3018;Bern;1;0
37796;2;3294;Büren an der Aare;1;0
37802;2;9000;St. Gallen;1;0
37803;2;3095;Spiegel b. Bern;1;0
37804;2;3098;Schliern b. Köniz;1;0
37823;2;3011;Bern;1;0
37842;1;3074;Muri b. Bern;1;0
37843;2;3454;Sumiswald;1;0
37845;2;3011;Bern;1;0
37849;3;3123;Belp;1;0
37850;3;3007;Bern;1;0
37851;2;3084;Wabern;1;0
37852;3;3065;Bolligen;1;0
37853;2;2502;Biel;1;0
37854;3;3014;Bern;1;0
37857;3;3206;Rizenbach;1;0
37858;3;2710;Tavannes;1;0
37859;2;3937;Baltschieder;1;0
37861;3;3532;Zäziwil;1;0
37862;3;3018;Bern;1;0
37863;3;3007;Bern;1;0
37867;2;3018;Bern;1;0
37868;2;3014;Bern;1;0
37870;2;3027;Bern;1;0
37871;3;1678;Siviriez;1;0
37872;3;4500;Solothurn;1;0
37875;2;3052;Zollikofen  ;1;0
37877;3;3011;Bern;1;0
37885;2;3014;Bern   ;1;0
37887;3;3063;Ittigen;1;0
37888;2;3018;Bern;1;0
37890;2;3068;Utzigen;1;0
37891;2;3006;Bern;1;0
37892;2;3012;Bern;1;0
37899;3;4125;Riehen;1;0
37900;3;3252;Worben;1;0
37901;2;3018;Bern;1;0
37902;3;4058;Basel;1;0
37903;3;5412;Gebenstorf;1;0
37904;2;3073;Gümligen;1;0
37905;2;1210;Brussels ;1;0
37906;3;3013;Bern;1;0
37907;3;-;Spanien;1;0
37909;3;3063;Ittigen;1;0
